Batch	Day	Size (µm2)	radius	Volume
Batch 18	Day17	1691076.42	733.6800003	1654278598
Batch 19	Day17	1085895.18	587.9210586	851227525
Batch 19	Day17	1300449.24	643.3862367	1115588190
Batch 19	Day17	1345983.28	654.5531183	1174690071
Batch 19	Day17	1160132.22	607.6854078	939993895
Batch 19	Day17	1037785.24	574.7497731	795289108.2
Batch 19	Day17	1209197.18	620.4026247	1000252139
Batch 19	Day17	1323325.78	649.0205532	1145154173
Batch 19	Day17	1261048.33	633.5646379	1065274171
Batch 19	Day17	1213174.94	621.4222213	1005191821
Batch 19	Day17	1199095.05	617.8056401	987743579.8
Batch16	Day17	1275627.63	637.216514	1083801322
Batch16	Day17	1441677.47	677.4217234	1302164848
Batch16	Day17	1221025.34	623.4295766	1014964414
Batch16	Day17	1534427.77	698.873042	1429826938
Batch16	Day17	1636535.46	721.7516304	1574896182
Batch16	Day17	1379803.05	662.725397	1219240699
Batch16	Day17	1195642.98	616.9157	983481234.6
Batch 12	Day19	1687212.55	732.8413435	1648612149
Batch 12	Day19	1821554.16	761.4582703	1849383306
Batch 12	Day19	1666570.22	728.3445456	1618449773
Batch 12	Day19	1997793.75	797.4443562	2124172468
Batch 12	Day19	1627362.06	719.7259424	1561672923
Batch 12	Day19	1820774.38	761.2952684	1848195894
Batch 13	Day19	1526148.06	696.9849462	1418269631
Batch 13	Day19	1402802.25	668.2258784	1249851688
Batch 13	Day19	1639225.27	722.3445225	1578780526
Batch 13	Day19	2026295.23	803.1125725	2169790900
Batch 13	Day19	2016736.33	801.2160206	2154455276
Batch 13	Day19	1864897.8	770.4644096	1915783177
Batch 17	Day19	2436303.07	880.6244108	2860623941
Batch 17	Day19	2110064.89	819.5453099	2305725046
Batch 17	Day19	2395491.53	873.2174049	2789046530
Batch 17	Day19	2452091.47	883.4732349	2888476244
Batch 17	Day19	2012329.24	800.3401098	2147397073
Batch 17	Day19	1507555.94	692.7264682	1392431869
Batch 17	Day19	2577093.22	905.7120125	3112139049
Batch 17	Day19	1725062.66	741.0158561	1704398378
Batch 18	Day19	1883910.47	774.3819002	1945154893
Batch 18	Day19	1832278.36	763.6964817	1865739383
Batch 18	Day19	1637008.58	721.8559515	1575579182
Batch 18	Day19	1771411.53	750.9046561	1773548221
Batch 18	Day19	3418881.46	1043.198815	4755430785
Batch 18	Day19	1914541.02	780.6518649	1992786690
Batch 18	Day19	1519436.67	695.4507269	1408924449
Batch 18	Day19	1723205.2	740.6168045	1701646305
Batch 18	Day19	2823145.23	947.9636263	3568318653
Batch 18	Day19	3265132.9	1019.472453	4438284061
Batch 19	Day19	1789188.81	754.6631609	1800313177
Batch 19	Day19	1641731.08	722.8964194	1582402026
Batch 19	Day19	1476732.63	685.6081938	1349946655
Batch 19	Day19	1689201.43	733.2731516	1651528075
Batch 19	Day19	1788663.12	754.5522872	1799519798
Batch 19	Day19	2017200.69	801.3082566	2155199424
Batch 19	Day19	1821633.02	761.4747529	1849503405
Batch 19	Day19	1612703.9	716.4772117	1540620791
Batch 19	Day19	1769098.46	750.4142386	1770075565
Batch 19	Day19	2215204.09	839.715048	2480186945
Batch 20	Day19	1684277.41	732.2036265	1644312037
Batch 20	Day19	2029239.13	803.6957612	2174521183
Batch 20	Day19	2009788.38	799.834677	2143331253
Batch 20	Day19	2476799.18	887.9130955	2932243236
Batch 20	Day19	2272242.11	850.4570109	2576592311
Batch 20	Day19	2091043.46	815.8430031	2274617568
Batch 20	Day19	2521973.99	895.9739135	3012830541
Batch 20	Day19	2011023.76	800.0804611	2145307756
Batch 20	Day19	2634148.76	915.6831286	3216060770
Batch 20	Day19	1689657.04	733.3720339	1652196293
Batch 21	Day19	1461934.29	682.1643039	1329705850
Batch 21	Day19	1615393.72	717.074467	1544476788
Batch 21	Day19	1734858.13	743.1167431	1718936164
Batch 21	Day19	1974847.12	792.8514123	2087680438
Batch 21	Day19	1759390.61	748.3524737	1755525753
Batch 21	Day19	1878294.28	773.2267704	1936463227
Batch 21	Day19	1910230.32	779.7725282	1986060168
Batch 21	Day19	1983249.49	794.5362921	2101018261
Batch 12	Day22	2344551.59	863.8830649	2700557884
Batch 12	Day22	2611289.74	911.7013436	3174288486
Batch 12	Day22	1947475.88	787.3378091	2044428524
Batch 12	Day22	2637083.89	916.1931417	3221437565
Batch 12	Day22	1812669.9	759.5990716	1835869831
Batch 12	Day22	2198741.04	836.5889135	2452589837
Batch 13	Day22	2118572.4	821.1957985	2319683672
Batch 13	Day22	1610040.38	715.8853051	1536805665
Batch 13	Day22	1882324.62	774.0558995	1942699303
Batch 13	Day22	1755342.75	747.4911043	1749470787
Batch 13	Day22	1569772.06	706.8762026	1479512684
Batch 13	Day22	2183206.73	833.6283859	2426644136
Batch 17	Day22	2114550.83	820.4160128	2313081814
Batch 17	Day22	2160750.75	829.3300461	2389300692
Batch 17	Day22	2531296.33	897.6283455	3029551116
Batch 17	Day22	2945527.26	968.292542	3802842771
Batch 17	Day22	2017866.57	801.440502	2156266662
Batch 17	Day22	2858664.76	953.9084099	3635872474
Batch 17	Day22	2843069.11	951.3027934	3606159448
Batch 17	Day22	2988905.94	975.3964884	3887157811
Batch 18	Day22	3827829.14	1103.827821	5633685730
Batch 18	Day22	1761563.49	748.8144456	1758778918
Batch 18	Day22	2369303.11	868.431116	2743435392
Batch 18	Day22	2687839.84	924.9681041	3314888161
Batch 18	Day22	2191451.39	835.2009594	2440403071
Batch 18	Day22	2009797.14	799.8364201	2143345266
Batch 18	Day22	2161109.97	829.3989803	2389896541
Batch 18	Day22	2253685.04	846.9771122	2545092863
Batch 18	Day22	3734342.87	1090.265222	5428565543
Batch 18	Day22	2231018.78	842.707146	2506793958
Batch 19	Day22	1912263.01	780.1872987	1989231083
Batch 19	Day22	1807561.89	758.5280611	1828115221
Batch 19	Day22	1788338.94	754.483906	1799030598
Batch 19	Day22	2018173.23	801.5013981	2156758221
Batch 19	Day22	1659315.62	726.7575704	1607893585
Batch 19	Day22	1991485.4	796.1843323	2114119298
Batch 19	Day22	2329402.78	861.0876458	2674426608
Batch 19	Day22	1870110.95	771.5405392	1923821881
Batch 19	Day22	1838858.32	765.0665216	1875798585
Batch 19	Day22	1926982.5	783.1842569	2012243143
Batch 20	Day22	2325714.15	860.4056057	2668076656
Batch 20	Day22	2340827.91	863.1967711	2694126791
Batch 20	Day22	2122961.96	822.0460935	2326896781
Batch 20	Day22	1731230.83	742.3394698	1713547969
Batch 20	Day22	2131627.19	823.7220455	2341157746
Batch 20	Day22	1742839.95	744.8242653	1730812647
Batch 20	Day22	2680734.18	923.7446572	3301751835
Batch 20	Day22	2201535.99	837.1204635	2457267771
Batch 20	Day22	1697770.28	735.1306446	1664110614
Batch 21	Day22	1803750.59	757.7279492	1822336314
Batch 21	Day22	1958156.27	789.4938248	2061269711
Batch 21	Day22	1841460.52	765.6076597	1879781705
Batch 21	Day22	1927998.84	783.3907654	2013835316
Batch 21	Day22	1629648.84	720.2314467	1564965789
Batch 21	Day22	1989610.41	795.809439	2111134326
